Camp,Block,Total Families,Total Individuals
Camp 10,C10_A,"1,378","6,142"
,C10_B,"1,316","5,904"
,C10_C,"1,525","6,338"
,C10_D,988,"4,248"
,C10_E,"1,398","5,745"
,C10_F,"1,046","4,576"
Camp 10 Total,,"7,651","32,953"
Camp 11,C11_A,"1,061","4,791"
,C11_B,970,"4,178"
,C11_C,"1,542","6,541"
,C11_D,"1,287","5,647"
,C11_E,"1,054","4,665"
,C11_F,"1,251","5,665"
Camp 11 Total,,"7,165","31,487"
Camp 12,C12_A,"1,400","6,550"
,C12_B,"1,477","6,630"
,C12_C,"1,290","5,668"
,C12_D,"1,111","4,897"
Camp 12 Total,,"5,278","23,745"
Camp 13,C13_A,"1,674","6,932"
,C13_B,"1,459","6,416"
,C13_C,"1,187","4,745"
,C13_D,"1,480","6,591"
,C13_E,"1,139","4,886"
,C13_F,"1,590","7,111"
,C13_G,"1,271","5,089"
Camp 13 Total,,"9,800","41,770"
Camp 14,C14_A,"1,416","6,511"
,C14_B,"1,530","6,820"
,C14_C,"1,278","5,767"
,C14_D,"1,380","6,286"
,C14_E,"1,445","6,528"
Camp 14 Total,,"7,049","31,912"
Camp 15,C15_A,"1,101","4,555"
,C15_B,"1,620","6,993"
,C15_C,"1,138","4,924"
,C15_D,"1,498","6,634"
,C15_E,"1,289","5,743"
,C15_F,"1,409","6,415"
,C15_G,"1,461","6,684"
,C15_H,"1,659","7,452"
Camp 15 Total,,"11,175","49,400"
Camp 16,C16_A,"1,644","7,389"
,C16_B,987,"4,378"
,C16_C,"1,080","4,842"
,C16_D,"1,178","5,229"
Camp 16 Total,,"4,889","21,838"
Camp 17,C17_A,"1,397","5,905"
,C17_B,"1,456","6,012"
,C17_C,"1,331","5,617"
Camp 17 Total,,"4,184","17,534"
Camp 18,C18_A,"1,149","4,664"
,C18_B,"1,310","5,224"
,C18_C,"1,352","5,456"
,C18_D,"1,380","5,715"
,C18_E,"1,349","5,742"
Camp 18 Total,,"6,540","26,801"
Camp 19,C19_A,"1,291","5,318"
,C19_B,"1,309","5,658"
,C19_C,"1,387","6,162"
,C19_D,839,"3,695"
Camp 19 Total,,"4,826","20,833"
Camp 1E,C01E_A,"1,348","5,716"
,C01E_B,"1,608","6,955"
,C01E_C,"1,274","5,753"
,C01E_D,"1,237","5,551"
,C01E_E,"1,255","5,411"
,C01E_F,"1,410","6,099"
,C01E_G,"1,201","5,053"
Camp 1E Total,,"9,333","40,538"
Camp 1W,C01W_A,"1,461","6,223"
,C01W_B,"1,476","6,437"
,C01W_C,"1,594","6,705"
,C01W_D,"1,131","4,815"
,C01W_E,"1,028","4,493"
,C01W_F,"1,345","5,710"
,C01W_G,"1,442","6,678"
Camp 1W Total,,"9,477","41,061"
Camp 20,C20_A,920,"3,791"
,C20_B,874,"3,648"
Camp 20 Total,,"1,794","7,439"
Camp 20 Extension,Camp 20 Extension,"1,131","4,587"
Camp 20 Extension Total,,"1,131","4,587"
Camp 21,C21_A,"1,371","5,749"
,C21_B,"1,413","5,609"
,C21_C,92,326
,C21_D,196,773
,C21_E,171,715
Camp 21 Total,,"3,243","13,172"
Camp 22,C22_A,"1,293","6,363"
,C22_B,"1,482","7,137"
,C22_C,270,"1,281"
,C22_D,"1,542","7,434"
Camp 22 Total,,"4,587","22,215"
Camp 23,C23_A,"1,339","5,579"
,C23_B,"1,149","4,631"
Camp 23 Total,,"2,488","10,210"
Camp 24,C24_A,"1,098","4,907"
,C24_B,987,"4,518"
,C24_C,854,"3,938"
,C24_D,869,"3,649"
