"X_index","reported_date"
1,2020-02-11
2,2020-02-11
3,2020-02-11
4,2020-02-11
5,2020-02-11
6,2020-02-11
7,2020-02-11
8,2020-02-11
9,2020-02-11
10,2020-02-11
11,2020-02-11
12,2020-02-11
13,2020-02-11
14,2020-02-11
15,2020-02-11
16,2020-02-11
17,2020-02-11
18,2020-02-11
19,2020-02-11
20,2020-02-11
21,2020-02-11
22,2020-02-11
23,2020-02-11
24,2020-02-11
25,2020-02-11
26,2020-02-11
27,2020-02-11
28,2020-02-11
29,2020-02-11
30,2020-02-11
31,2020-02-11
32,2020-02-11
33,2020-02-11
34,2020-02-11
35,2020-02-11
36,2020-02-11
37,2020-02-11
38,2020-02-11
39,2020-02-11
40,2020-02-11
41,2020-02-11
42,2020-02-11
43,2020-02-11
44,2020-02-11
45,2020-02-11
46,2020-02-11
47,2020-02-11
48,2020-02-11
55,2020-02-11
56,2020-02-11
60,2020-02-11
61,2020-02-11
62,2020-02-11
63,2020-02-11
