"X_index","X_uuid","reported_date"
1,"1b41a306-177b-4fa9-a957-aa2ce5ba6d1a",2020-02-18
2,"376c3e27-9cf9-4e4e-9852-86ddbe4bb806",2020-02-13
3,"ccd8d093-6194-44b9-81e7-161c15349956",2020-02-13
4,"c90973b3-574a-40a3-bc9e-732448b1d3d8",2020-02-13
5,"883b7744-9029-424b-877f-28e59e683823",2020-02-13
6,"140702fc-902e-4120-8d0a-244e53e3f522",2020-02-13
7,"a84205b9-dd48-4539-99a6-795ba06d04f7",2020-02-13
8,"e8ba8fa5-782a-4094-8672-055e97c25850",2020-02-13
9,"66f22af3-92b7-4523-b069-edb6f04bb9ff",2020-02-13
10,"526ae3a3-6b26-49bf-8df3-c1f7b03c8522",2020-02-13
11,"2c16d1c0-6960-4328-bb78-53557b5c7c79",2020-02-13
12,"1d7ab3cb-b19a-4466-8c96-c38fd69f2b18",2020-02-13
13,"9a3c412c-8f8e-41b8-ba1e-e2e1b3129d3a",2020-02-13
14,"93ec0b00-1d86-49e8-a3e5-0a476cf1b741",2020-02-13
15,"ea9da030-564b-4fd7-aeca-988c2df1bc5a",2020-02-13
16,"1e2f2ce5-ce21-438c-b046-a47dea0bf25a",2020-02-13
17,"f500532c-932e-4566-a5f4-ff365eab2a0c",2020-02-13
18,"17c9e444-e749-4758-a81f-982f60402c3c",2020-02-13
19,"8fde07b9-a058-4be6-b224-00c4e8ca9196",2020-02-13
20,"cb779340-8cd1-405a-ab54-6eac437dad97",2020-02-13
21,"65bd58c7-e398-41a9-bdea-e095f728fc9b",2020-02-13
22,"02ae52c5-9888-472a-a31e-37328acf7fc6",2020-02-13
23,"551bbd34-cade-4553-8e73-85ed53ab515f",2020-02-13
24,"79a461ab-08f7-4e31-84a1-22836db0c1ce",2020-02-13
25,"bd2bfca7-2327-46fa-9c94-511e325dafe8",2020-02-13
26,"5b032f07-558a-4fa2-bb8a-dc3fafdf5a76",2020-02-13
27,"e33bc56b-81dc-4e2a-a5fd-4781e9e79d33",2020-02-13
28,"5c8d3d56-8621-4b08-aa80-9cd9f4eb77f5",2020-02-13
29,"0f90c258-641b-4c93-baef-888c95057b1c",2020-02-13
30,"b049bff3-36f9-4665-bb74-37cdf69561dd",2020-02-13
31,"ae067ef0-0da3-4621-ba94-4d7c8c6daca1",2020-02-13
32,"a022d3b7-8274-414e-a7c5-7be30ce9c70f",2020-02-13
33,"cd4b2548-cd1e-4acd-9530-55ab95c70b66",2020-02-13
34,"ea3fbd0a-b046-42aa-a1c5-5cbc1d55c8e6",2020-02-13
35,"cf721215-3b3d-4a0e-b781-bacefa76ea7e",2020-02-13
36,"ff13539a-34aa-4b05-b354-79ba0487c067",2020-02-13
37,"924128d1-790d-434c-aa0b-2f2040d014e3",2020-02-13
38,"c5e5b867-ebc8-481c-88da-3cd2e8de4867",2020-02-13
39,"0f026da6-2116-4e4e-a41d-47b46f47b92c",2020-02-13
40,"519b1ac7-688c-4c3b-a6a1-55b3b9713d9d",2020-02-13
41,"2fe1b338-e694-4e43-a255-e5b369b75ae6",2020-02-13
42,"c9ea8602-5ccb-4a14-8a17-b9ba38546d9d",2020-02-13
43,"7e5d68bb-9f09-4682-868d-0d8f632baae8",2020-02-13
