"X_index","reported_date"
1,2020-02-13
2,2020-02-13
3,2020-02-13
4,2020-02-13
5,2020-02-13
6,2020-02-13
7,2020-02-13
8,2020-02-13
9,2020-02-13
10,2020-02-13
11,2020-02-13
12,2020-02-13
13,2020-02-13
14,2020-02-13
15,2020-02-13
16,2020-02-13
17,2020-02-13
18,2020-02-13
19,2020-02-13
20,2020-02-13
21,2020-02-13
22,2020-02-13
23,2020-02-13
24,2020-02-13
25,2020-02-13
26,2020-02-13
27,2020-02-13
28,2020-02-13
29,2020-02-13
30,2020-02-13
31,2020-02-13
32,2020-02-13
33,2020-02-13
34,2020-02-13
35,2020-02-13
36,2020-02-13
37,2020-02-13
38,2020-02-13
39,2020-02-13
40,2020-02-13
41,2020-02-13
42,2020-02-13
43,2020-02-13
44,2020-02-13
45,2020-02-13
46,2020-02-13
47,2020-02-13
48,2020-02-13
49,2020-02-13
50,2020-02-13
51,2020-02-13
52,2020-02-13
53,2020-02-13
54,2020-02-13
55,2020-02-13
56,2020-02-13
57,2020-02-13
58,2020-02-13
59,2020-02-13
60,2020-02-13
61,2020-02-13
62,2020-02-13
63,2020-02-13
64,2020-02-13
65,2020-02-13
66,2020-02-13
67,2020-02-13
68,2020-02-13
69,2020-02-13
70,2020-02-13
71,2020-02-13
72,2020-02-13
73,2020-02-13
74,2020-02-13
75,2020-02-13
76,2020-02-13
77,2020-02-13
78,2020-02-13
79,2020-02-13
80,2020-02-13
81,2020-02-13
82,2020-02-13
83,2020-02-13
84,2020-02-13
85,2020-02-13
86,2020-02-13
87,2020-02-13
88,2020-02-13
89,2020-02-13
90,2020-02-13
