"X_index","X_uuid","reported_date"
1,"5def6b5c-3c01-4598-856d-1849b218b6db",2020-02-18
2,"f9bafe7b-d2dc-4660-a567-366a425ed371",2020-02-17
3,"0039bafd-2d1b-459c-b0fe-97bd8fd84340",2020-02-17
4,"645c72b5-cf70-478f-8344-6456e1387157",2020-02-13
5,"f35f2862-5ec3-4098-ba7c-fc092db0fabd",2020-02-17
6,"0d606e48-df61-42b3-910f-ea0bbf253b50",2020-02-13
7,"3652991d-299a-4f01-a72e-e8a420a03a42",2020-02-18
8,"b79457b0-c286-4d27-964f-3bafd37026bb",2020-02-13
9,"ccf92f9d-b0a9-4698-9045-e0e59e983c6d",2020-02-13
10,"2c411161-40a1-468a-bfb3-751ac4e1b54f",2020-02-13
11,"dde7bb74-948b-4de8-bf46-777831fa1ce5",2020-02-13
12,"84098a0b-db35-41c4-81dc-4dbc17d2def3",2020-02-13
13,"d4d060f0-5146-429a-beba-e0cd0823c8cd",2020-02-13
14,"43a9b96c-8d93-42d4-a184-7de9a02c8ebd",2020-02-13
15,"6076d7fc-45d9-45c2-8d55-f2c8f852adba",2020-02-13
16,"03ed4e75-eda3-4a8a-b826-408db840e02b",2020-02-13
17,"7d0d19d6-0912-4572-95d5-fff7d7fdcc91",2020-02-13
18,"71921309-fd75-4130-9dec-bd33ff644020",2020-02-13
19,"68b97620-a87d-49b2-b1f2-1062e0675cff",2020-02-13
20,"472e1ea3-9cd5-48b3-adbd-939f7a208abe",2020-02-13
21,"9014dd41-957c-4b12-9165-2abad8e03ff0",2020-02-13
22,"f4804483-49a2-433f-886e-fb43ba2f8cd2",2020-02-13
23,"64a08782-5c9d-4394-a45d-5d03e62776b3",2020-02-13
24,"c91562c6-0358-4f8e-b9ef-0e471489322d",2020-02-13
25,"b343a140-85f9-4b3a-9695-a2b709f1f308",2020-02-13
26,"454f5ae8-f0b8-4442-9b6a-9d483d0ad6ff",2020-02-13
27,"51ab3330-ac12-4601-b018-23238a52db44",2020-02-13
28,"220a82af-3164-40e0-bef2-397493131006",2020-02-13
29,"59eed569-391c-4b8a-b5e4-811c5e27312d",2020-02-13
30,"97edbe5a-271b-4669-aad8-0eca89cf0b49",2020-02-13
31,"391c6046-92fe-44f6-954b-46b0574b435e",2020-02-13
32,"58ca6afb-3bbb-42bc-88db-12a303d5dd03",2020-02-13
33,"1354913b-163b-4c67-b9af-586a34f94a73",2020-02-13
34,"bf04d80f-aac3-46ca-a0e7-a08c3561a28a",2020-02-13
35,"c46f41f3-ca3b-4b90-b747-edcdc6aafa2d",2020-02-13
